dim,activation,dtype,competitor,measurement,value
128,relu,bfloat16,GatedMLP,Forward Time (ms),0.16487919783685356
128,relu,bfloat16,GatedMLP,Backward Time (ms),0.7628500025020912
128,relu,bfloat16,CompiledGatedMLP,Forward Time (ms),0.1825665996875614
128,relu,bfloat16,CompiledGatedMLP,Backward Time (ms),0.43000430159736425
128,relu,float32,GatedMLP,Forward Time (ms),0.1605541998287663
128,relu,float32,GatedMLP,Backward Time (ms),0.8118541009025648
128,relu,float32,CompiledGatedMLP,Forward Time (ms),0.1824333012336865
128,relu,float32,CompiledGatedMLP,Backward Time (ms),0.4883749963482842
128,silu,float16,GatedMLP,Forward Time (ms),0.15517919964622706
128,silu,float16,GatedMLP,Backward Time (ms),0.4191374988295138
128,silu,float16,CompiledGatedMLP,Forward Time (ms),0.172358300187625
128,silu,float16,CompiledGatedMLP,Backward Time (ms),0.40557089960202575
128,silu,bfloat16,GatedMLP,Forward Time (ms),0.16155000193975866
128,silu,bfloat16,GatedMLP,Backward Time (ms),0.42288329859729856
128,silu,bfloat16,CompiledGatedMLP,Forward Time (ms),0.17312079726252705
128,silu,bfloat16,CompiledGatedMLP,Backward Time (ms),0.42791250452864915
128,silu,float32,GatedMLP,Forward Time (ms),0.15193750150501728
128,silu,float32,GatedMLP,Backward Time (ms),0.41366669756826013
128,silu,float32,CompiledGatedMLP,Forward Time (ms),0.17173340020235628
128,silu,float32,CompiledGatedMLP,Backward Time (ms),0.40148739935830235
128,relu2,float16,GatedMLP,Forward Time (ms),0.21804159914609045
128,relu2,float16,GatedMLP,Backward Time (ms),0.5691417027264833
128,relu2,float16,CompiledGatedMLP,Forward Time (ms),0.2338167018024251
128,relu2,float16,CompiledGatedMLP,Backward Time (ms),0.5438374006189406
128,relu2,bfloat16,GatedMLP,Forward Time (ms),0.22172499739099294
128,relu2,bfloat16,GatedMLP,Backward Time (ms),0.5763250024756417
128,relu2,bfloat16,CompiledGatedMLP,Forward Time (ms),0.2512125007342547
128,relu2,bfloat16,CompiledGatedMLP,Backward Time (ms),0.5780583014711738
128,relu2,float32,GatedMLP,Forward Time (ms),0.2358583005843684
128,relu2,float32,GatedMLP,Backward Time (ms),0.5580626020673662
128,relu2,float32,CompiledGatedMLP,Forward Time (ms),0.23734999995213002
128,relu2,float32,CompiledGatedMLP,Backward Time (ms),0.5740584019804373
512,relu,float16,GatedMLP,Forward Time (ms),0.2686332998564467
512,relu,float16,GatedMLP,Backward Time (ms),1.5148042002692819
512,relu,float16,CompiledGatedMLP,Forward Time (ms),0.28611249872483313
512,relu,float16,CompiledGatedMLP,Backward Time (ms),1.2417334015481174
512,relu,bfloat16,GatedMLP,Forward Time (ms),0.2785167016554624
512,relu,bfloat16,GatedMLP,Backward Time (ms),1.61324990040157
512,relu,bfloat16,CompiledGatedMLP,Forward Time (ms),0.29268329963088036
512,relu,bfloat16,CompiledGatedMLP,Backward Time (ms),1.2679667008342221
512,relu,float32,GatedMLP,Forward Time (ms),0.28875829884782434
512,relu,float32,GatedMLP,Backward Time (ms),1.2239084026077762
512,relu,float32,CompiledGatedMLP,Forward Time (ms),0.3096541011473164
512,relu,float32,CompiledGatedMLP,Backward Time (ms),0.9448083990719169
512,silu,float16,GatedMLP,Forward Time (ms),0.2664875006303191
512,silu,float16,GatedMLP,Backward Time (ms),0.8996416989248246
512,silu,float16,CompiledGatedMLP,Forward Time (ms),0.2551957994000986
512,silu,float16,CompiledGatedMLP,Backward Time (ms),1.279054200858809
512,silu,bfloat16,GatedMLP,Forward Time (ms),0.2712665998842567
512,silu,bfloat16,GatedMLP,Backward Time (ms),1.3716999994358048
512,silu,bfloat16,CompiledGatedMLP,Forward Time (ms),0.29060840024612844
512,silu,bfloat16,CompiledGatedMLP,Backward Time (ms),1.3610416004667059
512,silu,float32,GatedMLP,Forward Time (ms),0.3182542015565559
512,silu,float32,GatedMLP,Backward Time (ms),1.2954915961017832
512,silu,float32,CompiledGatedMLP,Forward Time (ms),0.30157909786794335
512,silu,float32,CompiledGatedMLP,Backward Time (ms),0.8525959012331441
512,relu2,float16,GatedMLP,Forward Time (ms),0.2566333016147837
512,relu2,float16,GatedMLP,Backward Time (ms),0.758258398855105
512,relu2,float16,CompiledGatedMLP,Forward Time (ms),0.2730042004259303
512,relu2,float16,CompiledGatedMLP,Backward Time (ms),0.9496874990873039
512,relu2,bfloat16,GatedMLP,Forward Time (ms),0.29142080165911466
512,relu2,bfloat16,GatedMLP,Backward Time (ms),1.391525100916624
512,relu2,bfloat16,CompiledGatedMLP,Forward Time (ms),0.30277500045485795
512,relu2,bfloat16,CompiledGatedMLP,Backward Time (ms),1.410587501595728
512,relu2,float32,GatedMLP,Forward Time (ms),0.3384165989700705
512,relu2,float32,GatedMLP,Backward Time (ms),1.3575251010479406
512,relu2,float32,CompiledGatedMLP,Forward Time (ms),0.34605419787112623
512,relu2,float32,CompiledGatedMLP,Backward Time (ms),1.132404204690829
1024,relu,float16,GatedMLP,Forward Time (ms),0.5286291008815169
1024,relu,float16,GatedMLP,Backward Time (ms),2.926395897520706
1024,relu,float16,CompiledGatedMLP,Forward Time (ms),0.48232080007437617
1024,relu,float16,CompiledGatedMLP,Backward Time (ms),2.1055416989838704
1024,relu,bfloat16,GatedMLP,Forward Time (ms),0.4569457989418879
1024,relu,bfloat16,GatedMLP,Backward Time (ms),2.3371542018139735
1024,relu,bfloat16,CompiledGatedMLP,Forward Time (ms),0.46528330130968243
1024,relu,bfloat16,CompiledGatedMLP,Backward Time (ms),2.219245900050737
1024,relu,float32,GatedMLP,Forward Time (ms),0.7974999985890463
1024,relu,float32,GatedMLP,Backward Time (ms),3.1805334030650556
1024,relu,float32,CompiledGatedMLP,Forward Time (ms),0.7705166004598141
1024,relu,float32,CompiledGatedMLP,Backward Time (ms),3.0702583986567333
1024,silu,float16,GatedMLP,Forward Time (ms),0.45041670091450214
1024,silu,float16,GatedMLP,Backward Time (ms),2.076112400391139
1024,silu,float16,CompiledGatedMLP,Forward Time (ms),0.46582919894717634
1024,silu,float16,CompiledGatedMLP,Backward Time (ms),2.0594125002389774
1024,silu,bfloat16,GatedMLP,Forward Time (ms),0.4537708009593189
1024,silu,bfloat16,GatedMLP,Backward Time (ms),2.183016698108986
1024,silu,bfloat16,CompiledGatedMLP,Forward Time (ms),0.4643833002774045
1024,silu,bfloat16,CompiledGatedMLP,Backward Time (ms),2.172304200939834
1024,silu,float32,GatedMLP,Forward Time (ms),0.7323083991650492
1024,silu,float32,GatedMLP,Backward Time (ms),3.0716250010300428
1024,silu,float32,CompiledGatedMLP,Forward Time (ms),0.7795416982844472
1024,silu,float32,CompiledGatedMLP,Backward Time (ms),3.053662503953092
1024,relu2,float16,GatedMLP,Forward Time (ms),0.447541699395515
1024,relu2,float16,GatedMLP,Backward Time (ms),2.1373541007051244
1024,relu2,float16,CompiledGatedMLP,Forward Time (ms),0.47130830062087625
1024,relu2,float16,CompiledGatedMLP,Backward Time (ms),2.1136333991307765
1024,relu2,bfloat16,GatedMLP,Forward Time (ms),0.45548329944722354
1024,relu2,bfloat16,GatedMLP,Backward Time (ms),2.2504332999233156
1024,relu2,bfloat16,CompiledGatedMLP,Forward Time (ms),0.46634999744128436
1024,relu2,bfloat16,CompiledGatedMLP,Backward Time (ms),2.242025002487935
1024,relu2,float32,GatedMLP,Forward Time (ms),0.737941701663658
1024,relu2,float32,GatedMLP,Backward Time (ms),3.1062915979418904
1024,relu2,float32,CompiledGatedMLP,Forward Time (ms),0.7819125021342188
1024,relu2,float32,CompiledGatedMLP,Backward Time (ms),3.1046415970195085
2048,relu,float16,GatedMLP,Forward Time (ms),1.289537499542348
2048,relu,float16,GatedMLP,Backward Time (ms),8.162924999487586
2048,relu,float16,CompiledGatedMLP,Forward Time (ms),1.3015665987040848
2048,relu,float16,CompiledGatedMLP,Backward Time (ms),8.122962500783615
2048,relu,bfloat16,GatedMLP,Forward Time (ms),1.2867875018855557
2048,relu,bfloat16,GatedMLP,Backward Time (ms),8.732216697535478
2048,relu,bfloat16,CompiledGatedMLP,Forward Time (ms),1.2926875002449378
2048,relu,bfloat16,CompiledGatedMLP,Backward Time (ms),8.606833399971947
2048,relu,float32,GatedMLP,Forward Time (ms),2.270695799961686
2048,relu,float32,GatedMLP,Backward Time (ms),11.657641700003296
2048,relu,float32,CompiledGatedMLP,Forward Time (ms),2.2677166998619214
2048,relu,float32,CompiledGatedMLP,Backward Time (ms),11.663483301526867
2048,silu,float16,GatedMLP,Forward Time (ms),1.4234458009013906
2048,silu,float16,GatedMLP,Backward Time (ms),8.158116697450168
2048,silu,float16,CompiledGatedMLP,Forward Time (ms),1.3262250024126843
2048,silu,float16,CompiledGatedMLP,Backward Time (ms),8.312129098339938
2048,silu,bfloat16,GatedMLP,Forward Time (ms),1.2906000018119812
2048,silu,bfloat16,GatedMLP,Backward Time (ms),8.608583296881989
2048,silu,bfloat16,CompiledGatedMLP,Forward Time (ms),1.299937500152737
2048,silu,bfloat16,CompiledGatedMLP,Backward Time (ms),8.757858400349505
2048,silu,float32,GatedMLP,Forward Time (ms),2.257624999037944
2048,silu,float32,GatedMLP,Backward Time (ms),11.660904201562516
2048,silu,float32,CompiledGatedMLP,Forward Time (ms),2.314966599806212
2048,silu,float32,CompiledGatedMLP,Backward Time (ms),11.623516699182801
2048,relu2,float16,GatedMLP,Forward Time (ms),1.284116698661819
2048,relu2,float16,GatedMLP,Backward Time (ms),8.206725001218729
2048,relu2,float16,CompiledGatedMLP,Forward Time (ms),1.299108300008811
2048,relu2,float16,CompiledGatedMLP,Backward Time (ms),8.197591701173224
2048,relu2,bfloat16,GatedMLP,Forward Time (ms),1.650633299141191
2048,relu2,bfloat16,GatedMLP,Backward Time (ms),10.07461250119377
2048,relu2,bfloat16,CompiledGatedMLP,Forward Time (ms),1.3346124993404374
2048,relu2,bfloat16,CompiledGatedMLP,Backward Time (ms),8.94727920240257
2048,relu2,float32,GatedMLP,Forward Time (ms),2.2807832981925458
2048,relu2,float32,GatedMLP,Backward Time (ms),11.73833760258276
2048,relu2,float32,CompiledGatedMLP,Forward Time (ms),2.291679198970087
2048,relu2,float32,CompiledGatedMLP,Backward Time (ms),11.699562502326444
4096,relu,float16,GatedMLP,Forward Time (ms),5.569662500056438
4096,relu,float16,GatedMLP,Backward Time (ms),32.54308330069762
4096,relu,float16,CompiledGatedMLP,Forward Time (ms),4.735879201325588
4096,relu,float16,CompiledGatedMLP,Backward Time (ms),32.66201659862418
4096,relu,bfloat16,GatedMLP,Forward Time (ms),4.988850001245737
4096,relu,bfloat16,GatedMLP,Backward Time (ms),33.92346669861581
4096,relu,bfloat16,CompiledGatedMLP,Forward Time (ms),4.993816700880416
4096,relu,bfloat16,CompiledGatedMLP,Backward Time (ms),34.0201832994353
4096,relu,float32,GatedMLP,Forward Time (ms),25.836891701328568
4096,relu,float32,GatedMLP,Backward Time (ms),46.88693329808302
4096,relu,float32,CompiledGatedMLP,Forward Time (ms),8.818070800043643
4096,relu,float32,CompiledGatedMLP,Backward Time (ms),50.33626669901423
4096,silu,float16,GatedMLP,Forward Time (ms),4.839566597365774
4096,silu,float16,GatedMLP,Backward Time (ms),33.496541701606475
