dim,activation,dtype,competitor,measurement,value
128,relu,float32,MLP,Backward Time (ms),0.6196333008119836
128,relu,float32,PreCompiledMLP,Forward Time (ms),0.1279791998967994
128,relu,float32,PreCompiledMLP,Backward Time (ms),0.2656417003890965
128,silu,float16,MLP,Forward Time (ms),0.11281250044703484
128,silu,float16,MLP,Backward Time (ms),0.2944624990050215
128,silu,float16,PreCompiledMLP,Forward Time (ms),0.13060829951427877
128,silu,float16,PreCompiledMLP,Backward Time (ms),0.26597920077620074
128,silu,bfloat16,MLP,Forward Time (ms),0.12235829999553971
128,silu,bfloat16,MLP,Backward Time (ms),0.2811042002576869
128,silu,bfloat16,PreCompiledMLP,Forward Time (ms),0.1335124994511716
128,silu,bfloat16,PreCompiledMLP,Backward Time (ms),0.2657334007380996
128,silu,float32,MLP,Forward Time (ms),0.16156659985426813
128,silu,float32,MLP,Backward Time (ms),0.2164126002753619
128,silu,float32,PreCompiledMLP,Forward Time (ms),0.14372080040629953
128,silu,float32,PreCompiledMLP,Backward Time (ms),0.28710420010611415
128,relu2,float16,MLP,Forward Time (ms),0.15541669999947771
128,relu2,float16,MLP,Backward Time (ms),0.43920829994021915
128,relu2,float16,PreCompiledMLP,Forward Time (ms),0.18491660011932254
128,relu2,float16,PreCompiledMLP,Backward Time (ms),0.4407542000990361
128,relu2,bfloat16,MLP,Forward Time (ms),0.15903749954304658
128,relu2,bfloat16,MLP,Backward Time (ms),0.44180840050103143
128,relu2,bfloat16,PreCompiledMLP,Forward Time (ms),0.17918330049724318
128,relu2,bfloat16,PreCompiledMLP,Backward Time (ms),0.4355166995082982
128,relu2,float32,MLP,Forward Time (ms),0.15437920010299422
128,relu2,float32,MLP,Backward Time (ms),0.43953329950454645
128,relu2,float32,PreCompiledMLP,Forward Time (ms),0.16920419948291965
128,relu2,float32,PreCompiledMLP,Backward Time (ms),0.42235410073772073
512,relu,float16,MLP,Forward Time (ms),0.20012919994769618
512,relu,float16,MLP,Backward Time (ms),1.2467957996705081
512,relu,float16,PreCompiledMLP,Forward Time (ms),0.2319708997674752
512,relu,float16,PreCompiledMLP,Backward Time (ms),0.8782291006355081
512,relu,bfloat16,MLP,Forward Time (ms),0.2055166994978208
512,relu,bfloat16,MLP,Backward Time (ms),1.269308300834382
512,relu,bfloat16,PreCompiledMLP,Forward Time (ms),0.22044580036890693
512,relu,bfloat16,PreCompiledMLP,Backward Time (ms),0.9600874996976927
512,relu,float32,MLP,Forward Time (ms),0.223445899609942
512,relu,float32,MLP,Backward Time (ms),1.2587333003466483
512,relu,float32,PreCompiledMLP,Forward Time (ms),0.24743749963818118
512,relu,float32,PreCompiledMLP,Backward Time (ms),0.9144292009295896
512,silu,float16,MLP,Forward Time (ms),0.2097041993692983
512,silu,float16,MLP,Backward Time (ms),0.9553167008562014
512,silu,float16,PreCompiledMLP,Forward Time (ms),0.1799459001631476
512,silu,float16,PreCompiledMLP,Backward Time (ms),0.4414707000250928
512,silu,bfloat16,MLP,Forward Time (ms),0.1570750006067101
512,silu,bfloat16,MLP,Backward Time (ms),0.5633541994029656
512,silu,bfloat16,PreCompiledMLP,Forward Time (ms),0.1791333001165185
512,silu,bfloat16,PreCompiledMLP,Backward Time (ms),0.5460041997139342
512,silu,float32,MLP,Forward Time (ms),0.20384589952300303
512,silu,float32,MLP,Backward Time (ms),0.6689624999125954
512,silu,float32,PreCompiledMLP,Forward Time (ms),0.22976249965722673
512,silu,float32,PreCompiledMLP,Backward Time (ms),0.718175000656629
512,relu2,float16,MLP,Forward Time (ms),0.19773749954765663
512,relu2,float16,MLP,Backward Time (ms),1.0451166002894752
512,relu2,float16,PreCompiledMLP,Forward Time (ms),0.23776660018484108
512,relu2,float16,PreCompiledMLP,Backward Time (ms),0.9614166992832907
512,relu2,bfloat16,MLP,Forward Time (ms),0.23408330016536638
512,relu2,bfloat16,MLP,Backward Time (ms),1.0185457991610747
512,relu2,bfloat16,PreCompiledMLP,Forward Time (ms),0.646575000428129
512,relu2,bfloat16,PreCompiledMLP,Backward Time (ms),0.7151916994189378
512,relu2,float32,MLP,Forward Time (ms),0.25643749977461994
512,relu2,float32,MLP,Backward Time (ms),0.9857209006440826
512,relu2,float32,PreCompiledMLP,Forward Time (ms),0.2470207997248508
512,relu2,float32,PreCompiledMLP,Backward Time (ms),0.6704334009555168
1024,relu,float16,MLP,Forward Time (ms),0.3678916000353638
1024,relu,float16,MLP,Backward Time (ms),2.551975000096718
1024,relu,float16,PreCompiledMLP,Forward Time (ms),0.3690125005959999
1024,relu,float16,PreCompiledMLP,Backward Time (ms),1.8837541996617801
1024,relu,bfloat16,MLP,Forward Time (ms),0.3312417000415735
1024,relu,bfloat16,MLP,Backward Time (ms),1.9363540995982476
1024,relu,bfloat16,PreCompiledMLP,Forward Time (ms),0.3714750004292
1024,relu,bfloat16,PreCompiledMLP,Backward Time (ms),1.8080958994687535
1024,relu,float32,MLP,Forward Time (ms),0.5179125000722706
1024,relu,float32,MLP,Backward Time (ms),2.709645799768623
1024,relu,float32,PreCompiledMLP,Forward Time (ms),0.5563250000705011
1024,relu,float32,PreCompiledMLP,Backward Time (ms),2.3113916999136563
1024,silu,float16,MLP,Forward Time (ms),0.4391750000650063
1024,silu,float16,MLP,Backward Time (ms),1.4045166994037572
1024,silu,float16,PreCompiledMLP,Forward Time (ms),0.33866250014398247
1024,silu,float16,PreCompiledMLP,Backward Time (ms),1.4678833998914342
1024,silu,bfloat16,MLP,Forward Time (ms),0.31570830033160746
1024,silu,bfloat16,MLP,Backward Time (ms),1.5542499997536652
1024,silu,bfloat16,PreCompiledMLP,Forward Time (ms),0.3473666001809761
1024,silu,bfloat16,PreCompiledMLP,Backward Time (ms),1.5304708991607185
1024,silu,float32,MLP,Forward Time (ms),0.5269792003673501
1024,silu,float32,MLP,Backward Time (ms),2.227112399850739
1024,silu,float32,PreCompiledMLP,Forward Time (ms),0.5719250002584886
1024,silu,float32,PreCompiledMLP,Backward Time (ms),2.20441249985015
1024,relu2,float16,MLP,Forward Time (ms),0.34500420006224886
1024,relu2,float16,MLP,Backward Time (ms),1.5404292003950104
1024,relu2,float16,PreCompiledMLP,Forward Time (ms),0.35494170006131753
1024,relu2,float16,PreCompiledMLP,Backward Time (ms),1.530937400093535
1024,relu2,bfloat16,MLP,Forward Time (ms),0.3564792001270689
1024,relu2,bfloat16,MLP,Backward Time (ms),1.7301124993537087
1024,relu2,bfloat16,PreCompiledMLP,Forward Time (ms),0.3629124999861233
1024,relu2,bfloat16,PreCompiledMLP,Backward Time (ms),1.7945250001503155
1024,relu2,float32,MLP,Forward Time (ms),1.0346582996135112
1024,relu2,float32,MLP,Backward Time (ms),2.2655584005406126
1024,relu2,float32,PreCompiledMLP,Forward Time (ms),0.5842708000272978
1024,relu2,float32,PreCompiledMLP,Backward Time (ms),2.2164583999256138
2048,relu,float16,MLP,Forward Time (ms),0.9440166999411304
2048,relu,float16,MLP,Backward Time (ms),5.908820799959358
2048,relu,float16,PreCompiledMLP,Forward Time (ms),0.9242916006769519
2048,relu,float16,PreCompiledMLP,Backward Time (ms),5.760404199099867
2048,relu,bfloat16,MLP,Forward Time (ms),0.9122290997765958
2048,relu,bfloat16,MLP,Backward Time (ms),6.050075100210961
2048,relu,bfloat16,PreCompiledMLP,Forward Time (ms),0.9283250001317356
2048,relu,bfloat16,PreCompiledMLP,Backward Time (ms),6.103483299375512
2048,relu,float32,MLP,Forward Time (ms),1.9113833004666958
