dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
128,4,silu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.25902500055963174
128,4,silu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5154874990694225
128,4,silu,float16,False,GatedMLP,mps,Forward Time (ms),0.379429200256709
128,4,silu,float16,False,GatedMLP,mps,Backward Time (ms),0.7761542001389898
128,4,silu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.3176999991410412
128,4,silu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5573084010393359
128,4,silu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.4634957993403077
128,4,silu,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.6697208998957649
128,4,silu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.44467910047387704
128,4,silu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.3931083992938511
128,8,relu,float32,False,GatedMLP,mps,Forward Time (ms),0.28298329998506233
128,8,relu,float32,False,GatedMLP,mps,Backward Time (ms),1.3168999998015352
128,8,relu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.27352499892003834
128,8,relu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5670750018907711
128,8,relu,float16,False,GatedMLP,mps,Forward Time (ms),0.41135000064969063
128,8,relu,float16,False,GatedMLP,mps,Backward Time (ms),0.7588166990899481
128,8,relu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.3785125009017065
128,8,relu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5240041995421052
128,8,relu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.39422920090146363
128,8,relu,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.7878957985667512
128,8,relu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.43941250041825697
128,8,relu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.6624749992624857
128,8,relu2,float32,False,GatedMLP,mps,Forward Time (ms),0.3848542008199729
128,8,relu2,float32,False,GatedMLP,mps,Backward Time (ms),0.9026207990245894
128,8,relu2,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.2868625000701286
128,8,relu2,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5556249991059303
128,8,relu2,float16,False,GatedMLP,mps,Forward Time (ms),0.5579082993790507
128,8,relu2,float16,False,GatedMLP,mps,Backward Time (ms),0.9272249997593462
128,8,relu2,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.36587079957826063
128,8,relu2,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5106708005769178
128,8,relu2,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.49815419915830716
128,8,relu2,bfloat16,False,GatedMLP,mps,Backward Time (ms),1.0582000017166138
128,8,relu2,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.43969590042252094
128,8,relu2,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5318666007951833
128,8,silu,float32,False,GatedMLP,mps,Forward Time (ms),0.28914169961353764
128,8,silu,float32,False,GatedMLP,mps,Backward Time (ms),0.8364000008441508
128,8,silu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.5010957989725284
128,8,silu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.38905420078663155
128,8,silu,float16,False,GatedMLP,mps,Forward Time (ms),0.41667910118121654
128,8,silu,float16,False,GatedMLP,mps,Backward Time (ms),0.7261250982992351
128,8,silu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.40247089928016067
128,8,silu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.5222207008046098
128,8,silu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.6211625004652888
128,8,silu,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.5047708007623442
128,8,silu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.4505625009187497
128,8,silu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.39800829836167395
512,2,relu,float32,False,GatedMLP,mps,Forward Time (ms),1.0962166998069733
512,2,relu,float32,False,GatedMLP,mps,Backward Time (ms),1.5599083009874448
512,2,relu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),1.1852625000756234
512,2,relu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.21272500016493723
512,2,relu,float16,False,GatedMLP,mps,Forward Time (ms),0.5661499992129393
512,2,relu,float16,False,GatedMLP,mps,Backward Time (ms),0.9638583011110313
512,2,relu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),1.0617124993586913
512,2,relu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.3850583001621999
512,2,relu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.949850000324659
512,2,relu,bfloat16,False,GatedMLP,mps,Backward Time (ms),1.1064833990531042
512,2,relu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.8632041004602797
512,2,relu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.7976124994456768
512,2,relu2,float32,False,GatedMLP,mps,Forward Time (ms),0.43072919943369925
512,2,relu2,float32,False,GatedMLP,mps,Backward Time (ms),0.8756666007684544
512,2,relu2,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.49526660004630685
512,2,relu2,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.7036916998913512
512,2,relu2,float16,False,GatedMLP,mps,Forward Time (ms),0.5065874996944331
512,2,relu2,float16,False,GatedMLP,mps,Backward Time (ms),1.034395799797494
512,2,relu2,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.5305208003846928
512,2,relu2,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.6464334001066163
512,2,relu2,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.6818041001679376
512,2,relu2,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.9601041994756088
512,2,relu2,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),1.2357207990135066
512,2,relu2,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.7667084006243385
512,2,silu,float32,False,GatedMLP,mps,Forward Time (ms),0.4134666989557445
512,2,silu,float32,False,GatedMLP,mps,Backward Time (ms),0.7542583014583215
512,2,silu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.4898165992926806
512,2,silu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.6370751012582332
512,2,silu,float16,False,GatedMLP,mps,Forward Time (ms),0.40609580028103665
512,2,silu,float16,False,GatedMLP,mps,Backward Time (ms),0.7488375005777925
512,2,silu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.5247749999398366
512,2,silu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.639545799640473
512,2,silu,bfloat16,False,GatedMLP,mps,Forward Time (ms),0.6265542004257441
512,2,silu,bfloat16,False,GatedMLP,mps,Backward Time (ms),0.9068083003512584
512,2,silu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.8539999995264225
512,2,silu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),0.6842083996161819
512,4,relu,float32,False,GatedMLP,mps,Forward Time (ms),0.8187707993783988
512,4,relu,float32,False,GatedMLP,mps,Backward Time (ms),2.0522709004580975
512,4,relu,float32,False,PreCompiledGatedMLP,mps,Forward Time (ms),1.3576792000094429
512,4,relu,float32,False,PreCompiledGatedMLP,mps,Backward Time (ms),1.6770333008025773
512,4,relu,float16,False,GatedMLP,mps,Forward Time (ms),1.1422374998801388
512,4,relu,float16,False,GatedMLP,mps,Backward Time (ms),1.2278333000722341
512,4,relu,float16,False,PreCompiledGatedMLP,mps,Forward Time (ms),0.9265583008527756
512,4,relu,float16,False,PreCompiledGatedMLP,mps,Backward Time (ms),1.2555625988170505
512,4,relu,bfloat16,False,GatedMLP,mps,Forward Time (ms),1.2345416995231062
512,4,relu,bfloat16,False,GatedMLP,mps,Backward Time (ms),1.9093208000413142
512,4,relu,bfloat16,False,PreCompiledGatedMLP,mps,Forward Time (ms),1.1773416990763508
512,4,relu,bfloat16,False,PreCompiledGatedMLP,mps,Backward Time (ms),1.703025001916103
