dim,activation,dtype,fp8,competitor,measurement,value
64,relu2,bfloat16,False,GatedFP8MLP,Backward Time (ms),0.6087333982577547
64,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.29290420061443
64,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.6012917001498863
64,relu2,float32,False,GatedFP8MLP,Forward Time (ms),0.2207291981903836
64,relu2,float32,False,GatedFP8MLP,Backward Time (ms),0.5350541032385081
64,relu2,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.23854580067563802
64,relu2,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.5295583017868921
128,relu,float16,False,GatedFP8MLP,Forward Time (ms),0.23868750140536577
128,relu,float16,False,GatedFP8MLP,Backward Time (ms),0.6464208971010521
128,relu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.2548040996771306
128,relu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.5118667002534494
128,relu,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.24488329945597798
128,relu,bfloat16,False,GatedFP8MLP,Backward Time (ms),0.507637599366717
128,relu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.25565410032868385
128,relu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.5059875984443352
128,relu,float32,False,GatedFP8MLP,Forward Time (ms),0.17519159882795066
128,relu,float32,False,GatedFP8MLP,Backward Time (ms),0.4114584007766098
128,relu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.19617920042946935
128,relu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.4369874019175768
128,silu,float16,False,GatedFP8MLP,Forward Time (ms),0.24348340230062604
128,silu,float16,False,GatedFP8MLP,Backward Time (ms),0.5317790986737236
128,silu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.25638329971116036
128,silu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.5249584006378427
128,silu,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.23781250056345016
128,silu,bfloat16,False,GatedFP8MLP,Backward Time (ms),0.5039416981162503
128,silu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.2557291998527944
128,silu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.479074998293072
128,silu,float32,False,GatedFP8MLP,Forward Time (ms),0.1629917009267956
128,silu,float32,False,GatedFP8MLP,Backward Time (ms),0.40290409815497696
128,silu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.1827916014008224
128,silu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.4207916965242475
128,relu2,float16,False,GatedFP8MLP,Forward Time (ms),0.2913415984949097
128,relu2,float16,False,GatedFP8MLP,Backward Time (ms),0.652075101970695
128,relu2,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.3071040991926566
128,relu2,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.654687502537854
128,relu2,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.31022079929243773
128,relu2,bfloat16,False,GatedFP8MLP,Backward Time (ms),0.6489958992460743
128,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.31062499911058694
128,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.6597041996428743
128,relu2,float32,False,GatedFP8MLP,Forward Time (ms),0.2263291011331603
128,relu2,float32,False,GatedFP8MLP,Backward Time (ms),0.5403833987656981
128,relu2,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.2332125004613772
128,relu2,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.5480249994434416
512,relu,float16,False,GatedFP8MLP,Forward Time (ms),0.44982919935137033
512,relu,float16,False,GatedFP8MLP,Backward Time (ms),1.311841601273045
512,relu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.3995291015598923
512,relu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),1.0928374977083877
512,relu,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.4416499985381961
512,relu,bfloat16,False,GatedFP8MLP,Backward Time (ms),1.3058834010735154
512,relu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.4005833005066961
512,relu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),1.111900102114305
512,relu,float32,False,GatedFP8MLP,Forward Time (ms),0.2765375014860183
512,relu,float32,False,GatedFP8MLP,Backward Time (ms),0.7593457994516939
512,relu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.3461416985373944
512,relu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),0.7426458032568917
512,silu,float16,False,GatedFP8MLP,Forward Time (ms),0.3949875012040138
512,silu,float16,False,GatedFP8MLP,Backward Time (ms),1.0682499967515469
512,silu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),0.39763330132700503
512,silu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),1.0929082985967398
512,silu,bfloat16,False,GatedFP8MLP,Forward Time (ms),0.40327089955098927
