dim,activation,dtype,fp8,competitor,measurement,value
512,relu,float16,False,FP8MLP,Forward Time (ms),0.4509407997131348
512,relu,float16,False,FP8MLP,Backward Time (ms),1.2872992515563966
512,relu,float16,False,FP8MLP,Forward Peak Memory (GB),0.031195648
512,relu,float16,False,FP8MLP,Backward Peak Memory (GB),0.036963328
512,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.6249472141265869
512,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.9636000156402588
512,relu,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.031195648
512,relu,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.036963328
512,relu,bfloat16,False,FP8MLP,Forward Time (ms),0.3905535936355591
512,relu,bfloat16,False,FP8MLP,Backward Time (ms),1.1796479940414428
512,relu,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.031195648
512,relu,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.036963328
512,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.5815648078918457
512,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),1.077455997467041
512,relu,bfloat16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.031195648
512,relu,bfloat16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.036963328
512,relu2,float32,False,FP8MLP,Forward Time (ms),0.4448256015777588
512,relu2,float32,False,FP8MLP,Backward Time (ms),1.4097535610198975
512,relu2,float32,False,FP8MLP,Forward Peak Memory (GB),0.044302848
512,relu2,float32,False,FP8MLP,Backward Peak Memory (GB),0.056886272
512,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.5016543865203857
512,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.9881632328033447
512,relu2,float32,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.036962816
512,relu2,float32,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.041157632
512,relu2,float16,False,FP8MLP,Forward Time (ms),0.5751808166503907
512,relu2,float16,False,FP8MLP,Backward Time (ms),1.5833120346069334
512,relu2,float16,False,FP8MLP,Forward Peak Memory (GB),0.035389952
512,relu2,float16,False,FP8MLP,Backward Peak Memory (GB),0.043254784
512,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.5959519863128662
512,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),0.9126976490020753
512,relu2,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.0332928
512,relu2,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.036963328
512,relu2,bfloat16,False,FP8MLP,Forward Time (ms),0.5282815933227539
512,relu2,bfloat16,False,FP8MLP,Backward Time (ms),1.5008928298950197
512,relu2,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.035389952
512,relu2,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.043254784
512,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.507596778869629
512,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),1.0696703910827636
512,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.0332928
512,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.036963328
512,silu,float32,False,FP8MLP,Forward Time (ms),0.2830336093902588
512,silu,float32,False,FP8MLP,Backward Time (ms),0.9382912158966064
512,silu,float32,False,FP8MLP,Forward Peak Memory (GB),0.036962816
512,silu,float32,False,FP8MLP,Backward Peak Memory (GB),0.045351936
512,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.3241280078887939
512,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),0.8556512355804443
512,silu,float32,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.036962816
512,silu,float32,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.041157632
512,silu,float16,False,FP8MLP,Forward Time (ms),0.39410879611968996
512,silu,float16,False,FP8MLP,Backward Time (ms),1.1731296300888063
512,silu,float16,False,FP8MLP,Forward Peak Memory (GB),0.0332928
512,silu,float16,False,FP8MLP,Backward Peak Memory (GB),0.037487616
512,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.5792768001556396
512,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),1.0547295093536377
512,silu,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.0332928
512,silu,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.036963328
512,silu,bfloat16,False,FP8MLP,Forward Time (ms),0.42333760261535647
512,silu,bfloat16,False,FP8MLP,Backward Time (ms),1.1818847179412844
512,silu,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.0332928
512,silu,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.037487616
512,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),0.6069375991821289
512,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),1.0789951324462892
512,silu,bfloat16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.0332928
512,silu,bfloat16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.036963328
1024,relu,float32,False,FP8MLP,Forward Time (ms),0.3684351921081543
1024,relu,float32,False,FP8MLP,Backward Time (ms),0.7334912300109864
1024,relu,float32,False,FP8MLP,Forward Peak Memory (GB),0.071565824
1024,relu,float32,False,FP8MLP,Backward Peak Memory (GB),0.09673216
1024,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),0.5310368061065673
1024,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),1.0397599697113038
1024,relu,float32,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.065274368
1024,relu,float32,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.09673216
1024,relu,float16,False,FP8MLP,Forward Time (ms),0.30636160373687743
1024,relu,float16,False,FP8MLP,Backward Time (ms),1.1845184087753295
1024,relu,float16,False,FP8MLP,Forward Peak Memory (GB),0.066322944
1024,relu,float16,False,FP8MLP,Backward Peak Memory (GB),0.094635008
1024,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.6076479911804199
1024,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),1.0326720237731934
