dim,activation,dtype,competitor,measurement,value
512,relu,bfloat16,PreCompiledMLP,Forward Time (ms),0.4812960147857666
512,relu,bfloat16,PreCompiledMLP,Backward Time (ms),1.1779935359954834
512,relu,bfloat16,PreCompiledMLP,Forward Peak Memory (GB),0.024904192
512,relu,bfloat16,PreCompiledMLP,Backward Peak Memory (GB),0.029099008
512,relu2,float32,MLP,Forward Time (ms),0.3412992000579834
512,relu2,float32,MLP,Backward Time (ms),1.2663551807403564
512,relu2,float32,MLP,Forward Peak Memory (GB),0.044302848
512,relu2,float32,MLP,Backward Peak Memory (GB),0.056886272
512,relu2,float32,PreCompiledMLP,Forward Time (ms),0.5201600074768067
512,relu2,float32,PreCompiledMLP,Backward Time (ms),1.0831456184387207
512,relu2,float32,PreCompiledMLP,Forward Peak Memory (GB),0.036962816
512,relu2,float32,PreCompiledMLP,Backward Peak Memory (GB),0.041157632
512,relu2,float16,MLP,Forward Time (ms),0.35243520736694334
512,relu2,float16,MLP,Backward Time (ms),1.3866400718688965
512,relu2,float16,MLP,Forward Peak Memory (GB),0.03067136
512,relu2,float16,MLP,Backward Peak Memory (GB),0.036963328
512,relu2,float16,PreCompiledMLP,Forward Time (ms),0.5040128231048584
512,relu2,float16,PreCompiledMLP,Backward Time (ms),0.9402080059051514
512,relu2,float16,PreCompiledMLP,Forward Peak Memory (GB),0.027001344
512,relu2,float16,PreCompiledMLP,Backward Peak Memory (GB),0.029099008
512,relu2,bfloat16,MLP,Forward Time (ms),0.34498560428619385
512,relu2,bfloat16,MLP,Backward Time (ms),1.362326407432556
512,relu2,bfloat16,MLP,Forward Peak Memory (GB),0.03067136
512,relu2,bfloat16,MLP,Backward Peak Memory (GB),0.036963328
512,relu2,bfloat16,PreCompiledMLP,Forward Time (ms),0.4616896152496338
512,relu2,bfloat16,PreCompiledMLP,Backward Time (ms),0.8889855861663819
512,relu2,bfloat16,PreCompiledMLP,Forward Peak Memory (GB),0.027001344
512,relu2,bfloat16,PreCompiledMLP,Backward Peak Memory (GB),0.029099008
512,silu,float32,MLP,Forward Time (ms),0.24776639938354492
512,silu,float32,MLP,Backward Time (ms),0.9893919944763184
512,silu,float32,MLP,Forward Peak Memory (GB),0.036962816
512,silu,float32,MLP,Backward Peak Memory (GB),0.045351936
512,silu,float32,PreCompiledMLP,Forward Time (ms),0.5378047943115234
512,silu,float32,PreCompiledMLP,Backward Time (ms),1.0461184501647949
512,silu,float32,PreCompiledMLP,Forward Peak Memory (GB),0.036962816
512,silu,float32,PreCompiledMLP,Backward Peak Memory (GB),0.041157632
