dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
128,4,silu,bfloat16,False,MLP,mps,Forward Time (ms),0.6428874970879406
128,4,silu,bfloat16,False,MLP,mps,Backward Time (ms),0.4359083075542003
128,4,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.43040000018663704
128,4,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.3900625044479966
128,8,relu,float32,False,MLP,mps,Forward Time (ms),0.5715042003430426
128,8,relu,float32,False,MLP,mps,Backward Time (ms),1.7685708007775247
128,8,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.6034207995980978
128,8,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.7253332994878292
128,8,relu,float16,False,MLP,mps,Forward Time (ms),0.42623329791240394
128,8,relu,float16,False,MLP,mps,Backward Time (ms),0.5663792020641267
128,8,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.435225002001971
128,8,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),0.7119666959624738
128,8,relu,bfloat16,False,MLP,mps,Forward Time (ms),0.5243791965767741
128,8,relu,bfloat16,False,MLP,mps,Backward Time (ms),0.7032166002318263
128,8,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.8193540968932211
128,8,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),0.8852418046444654
128,8,relu2,float32,False,MLP,mps,Forward Time (ms),0.6447374995332211
128,8,relu2,float32,False,MLP,mps,Backward Time (ms),0.8210208034142852
128,8,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.48985829926095903
128,8,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),0.6296751031186432
128,8,relu2,float16,False,MLP,mps,Forward Time (ms),0.5194124998524785
128,8,relu2,float16,False,MLP,mps,Backward Time (ms),0.9755291976034641
128,8,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),0.3688917029649019
128,8,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),1.1551957984920591
128,8,relu2,bfloat16,False,MLP,mps,Forward Time (ms),0.6698082957882434
128,8,relu2,bfloat16,False,MLP,mps,Backward Time (ms),0.8676792029291391
128,8,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),0.7341999968048185
128,8,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),4.574908397626132
128,8,silu,float32,False,MLP,mps,Forward Time (ms),0.8193916990421712
128,8,silu,float32,False,MLP,mps,Backward Time (ms),0.6000373978167772
128,8,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),0.6866958981845528
128,8,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),1.338266598759219
128,8,silu,float16,False,MLP,mps,Forward Time (ms),1.081070798682049
