lr,momentum,ns_steps,class,device,measurement,value
0.001,0.999,5,Muon,mps,loss_reduction_per_ms,1.272929575047812
0.001,0.999,7,Muon,mps,avg_step_time_ms,22.64050410594791
0.001,0.999,7,Muon,mps,loss_reduction_pct,24.158722914507756
0.001,0.999,7,Muon,mps,loss_reduction_per_ms,1.0670576415372743
0.0001,0.9,3,Muon,mps,avg_step_time_ms,12.262516806367785
0.0001,0.9,3,Muon,mps,loss_reduction_pct,5.433974898543086
0.0001,0.9,3,Muon,mps,loss_reduction_per_ms,0.443136999063788
0.0001,0.9,5,Muon,mps,avg_step_time_ms,17.19857490970753
0.0001,0.9,5,Muon,mps,loss_reduction_pct,5.518493241604511
0.0001,0.9,5,Muon,mps,loss_reduction_per_ms,0.3208692156516796
0.0001,0.9,7,Muon,mps,avg_step_time_ms,18.760387500515208
0.0001,0.9,7,Muon,mps,loss_reduction_pct,5.493912660717322
0.0001,0.9,7,Muon,mps,loss_reduction_per_ms,0.2928464383033903
0.0001,0.99,3,Muon,mps,avg_step_time_ms,14.873241994064301
0.0001,0.99,3,Muon,mps,loss_reduction_pct,5.447673728694654
0.0001,0.99,3,Muon,mps,loss_reduction_per_ms,0.36627345476317424
0.0001,0.99,5,Muon,mps,avg_step_time_ms,18.79126240964979
0.0001,0.99,5,Muon,mps,loss_reduction_pct,5.5297954420994
0.0001,0.99,5,Muon,mps,loss_reduction_per_ms,0.2942748242001937
0.0001,0.99,7,Muon,mps,avg_step_time_ms,15.418887400301173
0.0001,0.99,7,Muon,mps,loss_reduction_pct,5.505858483419148
0.0001,0.99,7,Muon,mps,loss_reduction_per_ms,0.3570853292119899
0.0001,0.999,3,Muon,mps,avg_step_time_ms,14.677237498108298
0.0001,0.999,3,Muon,mps,loss_reduction_pct,5.44949578127655
0.0001,0.999,3,Muon,mps,loss_reduction_per_ms,0.371288928313582
0.0001,0.999,5,Muon,mps,avg_step_time_ms,12.32018739101477
0.0001,0.999,5,Muon,mps,loss_reduction_pct,5.532568698384481
0.0001,0.999,5,Muon,mps,loss_reduction_per_ms,0.44906530418680457
0.0001,0.999,7,Muon,mps,avg_step_time_ms,14.74545850069262
0.0001,0.999,7,Muon,mps,loss_reduction_pct,5.507939751991121
0.0001,0.999,7,Muon,mps,loss_reduction_per_ms,0.3735346548723733
